Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.838344516,1,0,0,0
0.881164520,1,1,0,0
0.881187440,1,1,0,1
0.883779900,1,1,1,1
0.883782200,0,1,1,1
0.883791700,1,1,1,1
0.883793120,0,1,1,1
0.883807040,1,1,1,1
0.883808340,0,1,1,1
0.883817740,1,1,1,1
0.883819160,0,1,1,1
0.883833080,1,1,1,1
0.883834380,0,1,1,1
0.883843800,1,1,1,1
0.883849520,0,1,1,1
0.886739520,1,1,1,1
0.886745700,1,1,0,1
0.908303200,1,1,1,1
0.908305520,0,1,1,1
0.908315020,1,1,1,1
0.908316420,0,1,1,1
0.908330340,1,1,1,1
0.908331640,0,1,1,1
0.908341040,1,1,1,1
0.908342460,0,1,1,1
0.908356380,1,1,1,1
0.908357680,0,1,1,1
0.908367080,1,1,1,1
0.908372800,0,1,1,1
0.911262980,1,1,1,1
0.911268000,1,1,0,1
0.936219240,1,1,1,1
0.936221540,0,1,1,1
0.936231040,1,1,1,1
0.936232460,0,1,1,1
0.936246380,1,1,1,1
0.936247660,0,1,1,1
0.936257080,1,1,1,1
0.936258500,0,1,1,1
0.936272420,1,1,1,1
0.936273720,0,1,1,1
0.936283120,1,1,1,1
0.936288840,0,1,1,1
0.939180180,1,1,1,1
0.939187420,1,1,0,1
0.964683920,1,1,1,1
0.964686240,0,1,1,1
0.964695740,1,1,1,1
0.964697140,0,1,1,1
0.964711060,1,1,1,1
0.964712360,0,1,1,1
0.964721760,1,1,1,1
0.964723180,0,1,1,1
0.964737100,1,1,1,1
0.964738400,0,1,1,1
0.964747820,1,1,1,1
0.964753540,0,1,1,1
0.967643520,1,1,1,1
0.967649640,1,1,0,1
0.993325160,1,1,1,1
0.993327480,0,1,1,1
0.993336980,1,1,1,1
0.993338380,0,1,1,1
0.993352300,1,1,1,1
0.993353600,0,1,1,1
0.993363020,1,1,1,1
0.993364440,0,1,1,1
0.993378360,1,1,1,1
0.993379640,0,1,1,1
0.993389060,1,1,1,1
0.993394780,0,1,1,1
0.996284720,1,1,1,1
0.996290920,1,1,0,1
1.018593400,1,1,1,1
1.018595720,0,1,1,1
1.018605220,1,1,1,1
1.018606640,0,1,1,1
1.018620560,1,1,1,1
1.018621840,0,1,1,1
1.018631260,1,1,1,1
1.018632680,0,1,1,1
1.018646600,1,1,1,1
1.018647900,0,1,1,1
1.018657300,1,1,1,1
1.018663040,0,1,1,1
1.021553720,1,1,1,1
1.021562720,1,1,0,1
1.045846400,1,1,1,1
1.045848720,0,1,1,1
1.045858220,1,1,1,1
1.045859640,0,1,1,1
1.045873560,1,1,1,1
1.045874860,0,1,1,1
1.045884280,1,1,1,1
1.045885700,0,1,1,1
1.045899620,1,1,1,1
1.045900920,0,1,1,1
1.045910340,1,1,1,1
1.045916060,0,1,1,1
1.048807080,1,1,1,1
1.048813280,1,1,0,1
1.075221940,1,1,1,1
1.075224260,0,1,1,1
1.075233760,1,1,1,1
1.075235160,0,1,1,1
1.075249100,1,1,1,1
1.075250380,0,1,1,1
1.075259800,1,1,1,1
1.075261220,0,1,1,1
1.075275140,1,1,1,1
1.075276440,0,1,1,1
1.075285860,1,1,1,1
1.075291580,0,1,1,1
1.078181780,1,1,1,1
1.078187960,1,1,0,1
1.105304460,1,1,1,1
1.105306760,0,1,1,1
1.105316280,1,1,1,1
1.105317680,0,1,1,1
1.105331600,1,1,1,1
1.105332900,0,1,1,1
1.105342300,1,1,1,1
1.105343720,0,1,1,1
1.105357660,1,1,1,1
1.105358940,0,1,1,1
1.105368360,1,1,1,1
1.105374080,0,1,1,1
1.108265240,1,1,1,1
1.108270260,1,1,0,1
1.135815900,1,1,1,1
1.135818220,0,1,1,1
1.135827720,1,1,1,1
1.135829120,0,1,1,1
1.135843060,1,1,1,1
1.135844340,0,1,1,1
1.135853760,1,1,1,1
1.135855180,0,1,1,1
1.135869100,1,1,1,1
1.135870400,0,1,1,1
1.135879820,1,1,1,1
1.135885540,0,1,1,1
1.138776120,1,1,1,1
1.138782320,1,1,0,1
1.167567920,1,1,1,1
1.167570220,0,1,1,1
1.167579740,1,1,1,1
1.167581140,0,1,1,1
1.167596500,1,1,1,1
1.167597780,0,1,1,1
1.167607200,1,1,1,1
1.167608620,0,1,1,1
1.167622540,1,1,1,1
1.167623840,0,1,1,1
1.167633240,1,1,1,1
1.167638960,0,1,1,1
1.170528880,1,1,1,1
1.170535000,1,1,0,1
1.199670220,1,1,1,1
1.199672520,0,1,1,1
1.199682040,1,1,1,1
1.199683440,0,1,1,1
1.199697360,1,1,1,1
1.199698660,0,1,1,1
1.199708080,1,1,1,1
1.199709500,0,1,1,1
1.199723420,1,1,1,1
1.199724720,0,1,1,1
1.199734120,1,1,1,1
1.199739840,0,1,1,1
1.202631800,1,1,1,1
1.202636820,1,1,0,1
1.230353680,1,1,1,1
1.230355980,0,1,1,1
1.230365500,1,1,1,1
1.230366900,0,1,1,1
1.230380820,1,1,1,1
1.230382120,0,1,1,1
1.230391520,1,1,1,1
1.230392940,0,1,1,1
1.230406860,1,1,1,1
1.230408160,0,1,1,1
1.230417580,1,1,1,1
1.230423300,0,1,1,1
1.233314360,1,1,1,1
1.233322180,1,1,0,1
1.257510200,1,1,1,1
1.257512500,0,1,1,1
1.257522000,1,1,1,1
1.257523400,0,1,1,1
1.257537320,1,1,1,1
1.257538620,0,1,1,1
1.257548040,1,1,1,1
1.257549460,0,1,1,1
1.257563380,1,1,1,1
1.257564680,0,1,1,1
1.257574080,1,1,1,1
1.257579800,0,1,1,1
1.258554480,1,1,1,1
1.258559420,1,1,0,1
1.258561720,1,1,0,0
1.258593860,1,0,0,0
1.306176620,1,0,0,0
