Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.812474090,1,0,0,0
0.912198920,1,1,0,0
0.912220820,1,1,0,1
0.915343840,1,1,1,1
0.915346340,0,1,1,1
0.915356460,1,1,1,1
0.915357780,0,1,1,1
0.915372980,1,1,1,1
0.915374280,0,1,1,1
0.915384300,1,1,1,1
0.915385640,0,1,1,1
0.915400840,1,1,1,1
0.915402100,0,1,1,1
0.915412120,1,1,1,1
0.915417420,0,1,1,1
0.918310040,1,1,1,1
0.918314620,1,1,0,1
0.943976980,1,1,1,1
0.943979500,0,1,1,1
0.943989620,1,1,1,1
0.943990940,0,1,1,1
0.944006140,1,1,1,1
0.944007420,0,1,1,1
0.944017460,1,1,1,1
0.944018800,0,1,1,1
0.944034000,1,1,1,1
0.944035260,0,1,1,1
0.944045280,1,1,1,1
0.944050580,0,1,1,1
0.946941600,1,1,1,1
0.946947360,1,1,0,1
0.977448740,1,1,1,1
0.977451240,0,1,1,1
0.977461360,1,1,1,1
0.977462700,0,1,1,1
0.977477880,1,1,1,1
0.977479180,0,1,1,1
0.977489200,1,1,1,1
0.977490540,0,1,1,1
0.977505720,1,1,1,1
0.977507000,0,1,1,1
0.977517020,1,1,1,1
0.977522300,0,1,1,1
0.980412540,1,1,1,1
0.980418300,1,1,0,1
1.011267920,1,1,1,1
1.011270420,0,1,1,1
1.011280540,1,1,1,1
1.011281880,0,1,1,1
1.011297060,1,1,1,1
1.011298360,0,1,1,1
1.011308380,1,1,1,1
1.011309720,0,1,1,1
1.011324920,1,1,1,1
1.011326180,0,1,1,1
1.011336200,1,1,1,1
1.011341500,0,1,1,1
1.014232540,1,1,1,1
1.014238300,1,1,0,1
1.045582520,1,1,1,1
1.045585020,0,1,1,1
1.045595140,1,1,1,1
1.045596460,0,1,1,1
1.045611660,1,1,1,1
1.045612960,0,1,1,1
1.045622980,1,1,1,1
1.045624320,0,1,1,1
1.045639520,1,1,1,1
1.045640780,0,1,1,1
1.045650800,1,1,1,1
1.045656100,0,1,1,1
1.048546600,1,1,1,1
1.048552380,1,1,0,1
1.075247960,1,1,1,1
1.075250460,0,1,1,1
1.075260580,1,1,1,1
1.075261900,0,1,1,1
1.075277100,1,1,1,1
1.075278400,0,1,1,1
1.075288420,1,1,1,1
1.075289760,0,1,1,1
1.075304960,1,1,1,1
1.075306220,0,1,1,1
1.075316260,1,1,1,1
1.075321560,0,1,1,1
1.078213760,1,1,1,1
1.078218340,1,1,0,1
1.107612500,1,1,1,1
1.107615000,0,1,1,1
1.107625120,1,1,1,1
1.107626440,0,1,1,1
1.107641640,1,1,1,1
1.107642940,0,1,1,1
1.107652960,1,1,1,1
1.107654300,0,1,1,1
1.107669500,1,1,1,1
1.107670760,0,1,1,1
1.107680780,1,1,1,1
1.107686080,0,1,1,1
1.110575960,1,1,1,1
1.110581720,1,1,0,1
1.142336300,1,1,1,1
1.142338800,0,1,1,1
1.142348920,1,1,1,1
1.142350240,0,1,1,1
1.142365440,1,1,1,1
1.142366720,0,1,1,1
1.142376740,1,1,1,1
1.142378080,0,1,1,1
1.142393280,1,1,1,1
1.142394540,0,1,1,1
1.142404560,1,1,1,1
1.142409860,0,1,1,1
1.145302660,1,1,1,1
1.145307240,1,1,0,1
1.178323320,1,1,1,1
1.178325820,0,1,1,1
1.178335940,1,1,1,1
1.178337260,0,1,1,1
1.178352460,1,1,1,1
1.178353760,0,1,1,1
1.178363780,1,1,1,1
1.178365120,0,1,1,1
1.178380300,1,1,1,1
1.178381560,0,1,1,1
1.178391580,1,1,1,1
1.178396880,0,1,1,1
1.181287960,1,1,1,1
1.181293720,1,1,0,1
1.214492440,1,1,1,1
1.214494940,0,1,1,1
1.214505060,1,1,1,1
1.214506380,0,1,1,1
1.214521580,1,1,1,1
1.214522880,0,1,1,1
1.214532900,1,1,1,1
1.214534240,0,1,1,1
1.214549440,1,1,1,1
1.214550700,0,1,1,1
1.214560720,1,1,1,1
1.214566020,0,1,1,1
1.217456740,1,1,1,1
1.217462520,1,1,0,1
1.252470620,1,1,1,1
1.252473120,0,1,1,1
1.252483240,1,1,1,1
1.252484560,0,1,1,1
1.252499760,1,1,1,1
1.252501040,0,1,1,1
1.252511060,1,1,1,1
1.252512400,0,1,1,1
1.252527600,1,1,1,1
1.252528860,0,1,1,1
1.252538880,1,1,1,1
1.252544180,0,1,1,1
1.255436180,1,1,1,1
1.255440760,1,1,0,1
1.290475960,1,1,1,1
1.290478480,0,1,1,1
1.290488580,1,1,1,1
1.290489900,0,1,1,1
1.290505100,1,1,1,1
1.290506400,0,1,1,1
1.290516420,1,1,1,1
1.290517760,0,1,1,1
1.290532960,1,1,1,1
1.290534220,0,1,1,1
1.290544240,1,1,1,1
1.290549520,0,1,1,1
1.293440660,1,1,1,1
1.293446420,1,1,0,1
1.326988380,1,1,1,1
1.326990880,0,1,1,1
1.327000980,1,1,1,1
1.327002320,0,1,1,1
1.327017500,1,1,1,1
1.327018800,0,1,1,1
1.327028800,1,1,1,1
1.327030140,0,1,1,1
1.327045340,1,1,1,1
1.327046600,0,1,1,1
1.327056620,1,1,1,1
1.327061900,0,1,1,1
1.329952140,1,1,1,1
1.329957900,1,1,0,1
1.358823620,1,1,1,1
1.358826120,0,1,1,1
1.358836240,1,1,1,1
1.358837560,0,1,1,1
1.358852760,1,1,1,1
1.358854040,0,1,1,1
1.358864080,1,1,1,1
1.358865420,0,1,1,1
1.358880600,1,1,1,1
1.358881860,0,1,1,1
1.358891880,1,1,1,1
1.358897180,0,1,1,1
1.359873120,1,1,1,1
1.359878880,1,1,0,1
1.359881560,1,1,0,0
1.359910740,1,0,0,0
1.453551700,1,0,0,0
