Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.698698296,1,0,0,0
0.734387180,1,1,0,0
0.734411540,1,1,0,1
0.739929040,1,1,1,1
0.739931960,0,1,1,1
0.739941480,1,1,1,1
0.739942880,0,1,1,1
0.739956800,1,1,1,1
0.739958100,0,1,1,1
0.739967520,1,1,1,1
0.739968940,0,1,1,1
0.739982880,1,1,1,1
0.739984160,0,1,1,1
0.739993580,1,1,1,1
0.739999320,0,1,1,1
0.740005260,0,1,0,1
0.741692920,1,1,0,1
0.746916020,1,1,1,1
0.746918940,0,1,1,1
0.746928460,1,1,1,1
0.746929860,0,1,1,1
0.746943800,1,1,1,1
0.746945100,0,1,1,1
0.746954520,1,1,1,1
0.746955920,0,1,1,1
0.746969860,1,1,1,1
0.746971160,0,1,1,1
0.746980560,1,1,1,1
0.746986300,0,1,1,1
0.746992240,0,1,0,1
0.748679640,1,1,0,1
0.749469200,1,1,1,1
0.749472120,0,1,1,1
0.749481640,1,1,1,1
0.749483040,0,1,1,1
0.749496980,1,1,1,1
0.749498260,0,1,1,1
0.749507680,1,1,1,1
0.749509100,0,1,1,1
0.749523020,1,1,1,1
0.749524320,0,1,1,1
0.749533740,1,1,1,1
0.749539460,0,1,1,1
0.749545420,0,1,0,1
0.751233480,1,1,0,1
0.752997220,1,1,1,1
0.753000160,0,1,1,1
0.753009660,1,1,1,1
0.753011080,0,1,1,1
0.753025000,1,1,1,1
0.753026300,0,1,1,1
0.753035700,1,1,1,1
0.753037120,0,1,1,1
0.753051060,1,1,1,1
0.753052340,0,1,1,1
0.753061760,1,1,1,1
0.753067500,0,1,1,1
0.753073440,0,1,0,1
0.754761580,1,1,0,1
0.757071320,1,1,1,1
0.757074260,0,1,1,1
0.757083760,1,1,1,1
0.757085180,0,1,1,1
0.757099100,1,1,1,1
0.757100380,0,1,1,1
0.757109800,1,1,1,1
0.757111220,0,1,1,1
0.757125140,1,1,1,1
0.757126440,0,1,1,1
0.757135860,1,1,1,1
0.757141580,0,1,1,1
0.757147520,0,1,0,1
0.758834280,1,1,0,1
0.761154940,1,1,1,1
0.761157880,0,1,1,1
0.761167380,1,1,1,1
0.761168800,0,1,1,1
0.761182720,1,1,1,1
0.761184000,0,1,1,1
0.761193420,1,1,1,1
0.761194840,0,1,1,1
0.761208760,1,1,1,1
0.761210060,0,1,1,1
0.761219480,1,1,1,1
0.761225200,0,1,1,1
0.761231160,0,1,0,1
0.762918800,1,1,0,1
0.765666800,1,1,1,1
0.765669720,0,1,1,1
