Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.584479575,1,0,0,0
0.607277900,1,1,0,0
0.607302160,1,1,0,1
0.614690640,1,1,1,1
0.614692940,0,1,1,1
0.614702460,1,1,1,1
0.614703860,0,1,1,1
0.614717800,1,1,1,1
0.614719080,0,1,1,1
0.614728500,1,1,1,1
0.614729920,0,1,1,1
0.614743860,1,1,1,1
0.614745140,0,1,1,1
0.614754560,1,1,1,1
0.614760300,0,1,1,1
0.617651120,1,1,1,1
0.617657240,1,1,0,1
0.620138580,1,1,1,1
0.620140880,0,1,1,1
0.620150400,1,1,1,1
0.620151800,0,1,1,1
0.620165720,1,1,1,1
0.620167020,0,1,1,1
0.620176440,1,1,1,1
0.620177860,0,1,1,1
0.620191780,1,1,1,1
0.620193080,0,1,1,1
0.620202500,1,1,1,1
0.620208220,0,1,1,1
0.623100400,1,1,1,1
0.623108920,1,1,0,1
0.626385580,1,1,1,1
0.626387880,0,1,1,1
0.626397400,1,1,1,1
0.626398800,0,1,1,1
0.626412720,1,1,1,1
0.626414020,0,1,1,1
0.626423420,1,1,1,1
0.626424840,0,1,1,1
0.626438780,1,1,1,1
0.626440060,0,1,1,1
0.626449480,1,1,1,1
0.626455200,0,1,1,1
0.629347300,1,1,1,1
0.629352240,1,1,0,1
0.632974260,1,1,1,1
0.632976560,0,1,1,1
0.632986080,1,1,1,1
0.632987480,0,1,1,1
0.633001400,1,1,1,1
0.633002700,0,1,1,1
0.633012120,1,1,1,1
0.633013540,0,1,1,1
0.633027480,1,1,1,1
0.633028760,0,1,1,1
0.633038180,1,1,1,1
0.633043900,0,1,1,1
0.635936100,1,1,1,1
0.635941040,1,1,0,1
0.639749500,1,1,1,1
0.639751800,0,1,1,1
0.639761320,1,1,1,1
0.639762720,0,1,1,1
0.639776640,1,1,1,1
0.639777940,0,1,1,1
0.639787360,1,1,1,1
0.639788780,0,1,1,1
0.639802700,1,1,1,1
0.639804000,0,1,1,1
0.639813420,1,1,1,1
0.639819140,0,1,1,1
0.642711420,1,1,1,1
0.642716420,1,1,0,1
0.644181020,1,1,1,1
0.644183320,0,1,1,1
0.644192840,1,1,1,1
0.644194240,0,1,1,1
0.644208160,1,1,1,1
0.644209460,0,1,1,1
0.644220440,1,1,1,1
0.644221860,0,1,1,1
0.644235780,1,1,1,1
0.644237080,0,1,1,1
0.644246500,1,1,1,1
0.644252220,0,1,1,1
0.647144000,1,1,1,1
0.647150200,1,1,0,1
0.650457220,1,1,1,1
0.650459540,0,1,1,1
0.650469040,1,1,1,1
0.650470440,0,1,1,1
0.650484380,1,1,1,1
0.650485660,0,1,1,1
0.650495080,1,1,1,1
0.650496500,0,1,1,1
0.650510420,1,1,1,1
0.650511720,0,1,1,1
0.650521140,1,1,1,1
0.650526860,0,1,1,1
0.653418700,1,1,1,1
0.653423640,1,1,0,1
0.656682060,1,1,1,1
0.656684360,0,1,1,1
0.656693880,1,1,1,1
0.656695280,0,1,1,1
0.656709200,1,1,1,1
0.656710500,0,1,1,1
0.656719920,1,1,1,1
0.656721340,0,1,1,1
