Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
1.142558262,1,0,0,0
1.178360320,1,1,0,0
1.178383620,1,1,0,1
1.186915720,1,1,1,1
1.186918220,0,1,1,1
1.186928340,1,1,1,1
1.186929680,0,1,1,1
1.186944880,1,1,1,1
1.186946180,0,1,1,1
1.186956200,1,1,1,1
1.186957540,0,1,1,1
1.186972740,1,1,1,1
1.186974000,0,1,1,1
1.186984020,1,1,1,1
1.186989320,0,1,1,1
1.189881260,1,1,1,1
1.189887020,1,1,0,1
1.192745640,1,1,1,1
1.192748140,0,1,1,1
1.192758260,1,1,1,1
1.192759580,0,1,1,1
1.192774780,1,1,1,1
1.192776080,0,1,1,1
1.192786100,1,1,1,1
1.192787440,0,1,1,1
1.192802640,1,1,1,1
1.192803900,0,1,1,1
1.192813940,1,1,1,1
1.192819240,0,1,1,1
1.195710820,1,1,1,1
1.195716600,1,1,0,1
1.199471780,1,1,1,1
1.199474280,0,1,1,1
1.199484400,1,1,1,1
1.199485720,0,1,1,1
1.199500920,1,1,1,1
1.199502220,0,1,1,1
1.199512240,1,1,1,1
1.199513580,0,1,1,1
1.199528780,1,1,1,1
1.199530040,0,1,1,1
1.199540060,1,1,1,1
1.199545360,0,1,1,1
1.202438080,1,1,1,1
1.202443860,1,1,0,1
1.206613180,1,1,1,1
1.206615700,0,1,1,1
1.206625820,1,1,1,1
1.206627140,0,1,1,1
1.206642340,1,1,1,1
1.206643640,0,1,1,1
1.206653660,1,1,1,1
1.206655020,0,1,1,1
1.206670220,1,1,1,1
1.206671480,0,1,1,1
1.206681500,1,1,1,1
1.206686800,0,1,1,1
1.209580640,1,1,1,1
1.209585200,1,1,0,1
1.214318800,1,1,1,1
1.214321320,0,1,1,1
1.214331440,1,1,1,1
1.214332760,0,1,1,1
1.214347960,1,1,1,1
1.214349260,0,1,1,1
1.214359280,1,1,1,1
1.214360620,0,1,1,1
1.214375820,1,1,1,1
1.214377080,0,1,1,1
1.214387120,1,1,1,1
1.214392420,0,1,1,1
1.217285960,1,1,1,1
1.217291720,1,1,0,1
1.218982440,1,1,1,1
1.218984940,0,1,1,1
1.218995060,1,1,1,1
1.218996380,0,1,1,1
1.219011600,1,1,1,1
1.219012900,0,1,1,1
1.219022920,1,1,1,1
1.219024260,0,1,1,1
1.219039460,1,1,1,1
1.219040740,0,1,1,1
1.219050760,1,1,1,1
1.219056060,0,1,1,1
1.221948080,1,1,1,1
1.221953840,1,1,0,1
1.225778780,1,1,1,1
1.225781280,0,1,1,1
1.225791400,1,1,1,1
1.225792740,0,1,1,1
1.225807940,1,1,1,1
1.225809220,0,1,1,1
1.225819260,1,1,1,1
1.225820600,0,1,1,1
1.225835800,1,1,1,1
1.225837060,0,1,1,1
1.225847100,1,1,1,1
1.225852400,0,1,1,1
1.228746320,1,1,1,1
1.228750880,1,1,0,1
1.232507820,1,1,1,1
1.232510340,0,1,1,1
1.232520460,1,1,1,1
1.232521780,0,1,1,1
1.232536980,1,1,1,1
1.232538280,0,1,1,1
1.232548300,1,1,1,1
1.232549640,0,1,1,1
1.232564840,1,1,1,1
1.232566100,0,1,1,1
1.232576120,1,1,1,1
1.232581420,0,1,1,1
1.235474740,1,1,1,1
1.235479300,1,1,0,1
1.238652380,1,1,1,1
1.238654880,0,1,1,1
1.238665000,1,1,1,1
1.238666320,0,1,1,1
1.238681540,1,1,1,1
1.238682840,0,1,1,1
1.238692860,1,1,1,1
1.238694200,0,1,1,1
1.238709400,1,1,1,1
1.238710660,0,1,1,1
1.238720700,1,1,1,1
1.238726000,0,1,1,1
1.241619420,1,1,1,1
1.241623980,1,1,0,1
1.243383720,1,1,1,1
1.243386220,0,1,1,1
1.243396340,1,1,1,1
1.243397680,0,1,1,1
1.243412880,1,1,1,1
1.243414160,0,1,1,1
1.243424200,1,1,1,1
1.243425540,0,1,1,1
1.243440740,1,1,1,1
1.243442000,0,1,1,1
1.243452020,1,1,1,1
1.243457320,0,1,1,1
1.246351160,1,1,1,1
1.246355740,1,1,0,1
1.250179520,1,1,1,1
1.250182020,0,1,1,1
1.250192140,1,1,1,1
1.250193460,0,1,1,1
1.250208660,1,1,1,1
1.250209960,0,1,1,1
1.250219980,1,1,1,1
1.250221320,0,1,1,1
1.250237980,1,1,1,1
1.250239240,0,1,1,1
1.250249280,1,1,1,1
1.250254580,0,1,1,1
1.253147900,1,1,1,1
1.253153680,1,1,0,1
1.256625800,1,1,1,1
1.256628300,0,1,1,1
1.256638420,1,1,1,1
1.256639740,0,1,1,1
1.256654960,1,1,1,1
1.256656240,0,1,1,1
1.256666260,1,1,1,1
1.256667620,0,1,1,1
1.256682820,1,1,1,1
1.256684080,0,1,1,1
1.256694100,1,1,1,1
1.256699400,0,1,1,1
1.259592840,1,1,1,1
1.259597420,1,1,0,1
1.262080000,1,1,1,1
1.262082500,0,1,1,1
1.262092620,1,1,1,1
1.262093960,0,1,1,1
1.262109160,1,1,1,1
1.262110440,0,1,1,1
1.262120480,1,1,1,1
1.262121820,0,1,1,1
1.262137020,1,1,1,1
1.262138280,0,1,1,1
1.262148300,1,1,1,1
1.262153600,0,1,1,1
1.265047000,1,1,1,1
1.265051580,1,1,0,1
1.265564000,1,1,1,1
1.265566500,0,1,1,1
1.265576620,1,1,1,1
1.265577940,0,1,1,1
1.265593140,1,1,1,1
1.265594440,0,1,1,1
1.265604460,1,1,1,1
1.265605800,0,1,1,1
1.265621000,1,1,1,1
1.265622260,0,1,1,1
1.265632300,1,1,1,1
1.265637600,0,1,1,1
1.266613920,1,1,1,1
1.266619680,1,1,0,1
1.266622380,1,1,0,0
1.266676920,1,0,0,0
1.338205320,1,0,0,0
