Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.860862568,1,0,0,0
0.903496220,1,1,0,0
0.903519160,1,1,0,1
0.909165820,1,1,1,1
0.909168120,0,1,1,1
0.909177640,1,1,1,1
0.909179040,0,1,1,1
0.909192960,1,1,1,1
0.909194240,0,1,1,1
0.909203660,1,1,1,1
0.909205080,0,1,1,1
0.909219000,1,1,1,1
0.909220300,0,1,1,1
0.909229720,1,1,1,1
0.909235440,0,1,1,1
0.912125740,1,1,1,1
0.912130680,1,1,0,1
0.917780460,1,1,1,1
0.917782780,0,1,1,1
0.917792280,1,1,1,1
0.917793680,0,1,1,1
0.917807620,1,1,1,1
0.917808900,0,1,1,1
0.917818320,1,1,1,1
0.917819740,0,1,1,1
0.917833660,1,1,1,1
0.917834960,0,1,1,1
0.917844380,1,1,1,1
0.917850100,0,1,1,1
0.920740480,1,1,1,1
0.920745480,1,1,0,1
0.926388720,1,1,1,1
0.926391020,0,1,1,1
0.926400520,1,1,1,1
0.926401920,0,1,1,1
0.926415840,1,1,1,1
0.926417140,0,1,1,1
0.926426540,1,1,1,1
0.926427960,0,1,1,1
0.926441880,1,1,1,1
0.926444560,0,1,1,1
0.926453980,1,1,1,1
0.926459700,0,1,1,1
0.929349640,1,1,1,1
0.929355840,1,1,0,1
0.935006320,1,1,1,1
0.935008620,0,1,1,1
0.935018140,1,1,1,1
0.935019540,0,1,1,1
0.935033460,1,1,1,1
0.935034760,0,1,1,1
0.935044160,1,1,1,1
0.935045580,0,1,1,1
0.935059500,1,1,1,1
0.935060800,0,1,1,1
0.935070220,1,1,1,1
0.935075940,0,1,1,1
0.937965580,1,1,1,1
0.937971720,1,1,0,1
0.943616520,1,1,1,1
0.943618820,0,1,1,1
0.943628320,1,1,1,1
0.943629740,0,1,1,1
0.943643660,1,1,1,1
0.943644940,0,1,1,1
0.943654360,1,1,1,1
0.943655780,0,1,1,1
0.943669700,1,1,1,1
0.943670980,0,1,1,1
0.943680400,1,1,1,1
0.943686120,0,1,1,1
0.946577080,1,1,1,1
0.946582080,1,1,0,1
0.952231200,1,1,1,1
0.952233500,0,1,1,1
0.952243020,1,1,1,1
0.952244420,0,1,1,1
0.952258340,1,1,1,1
0.952259620,0,1,1,1
0.952269040,1,1,1,1
0.952270460,0,1,1,1
0.952284380,1,1,1,1
0.952285660,0,1,1,1
