Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.886097289,1,0,0,0
0.921030060,1,1,0,0
0.921052000,1,1,0,1
0.926648120,1,1,1,1
0.926650640,0,1,1,1
0.926660760,1,1,1,1
0.926662080,0,1,1,1
0.926677300,1,1,1,1
0.926678580,0,1,1,1
0.926688620,1,1,1,1
0.926689960,0,1,1,1
0.926705160,1,1,1,1
0.926706420,0,1,1,1
0.926716460,1,1,1,1
0.926721760,0,1,1,1
0.929616260,1,1,1,1
0.929620840,1,1,0,1
0.935218000,1,1,1,1
0.935220500,0,1,1,1
0.935230620,1,1,1,1
0.935231960,0,1,1,1
0.935247160,1,1,1,1
0.935248460,0,1,1,1
0.935258480,1,1,1,1
0.935259820,0,1,1,1
0.935275020,1,1,1,1
0.935276280,0,1,1,1
0.935286320,1,1,1,1
0.935291620,0,1,1,1
0.938184340,1,1,1,1
0.938190120,1,1,0,1
0.943782840,1,1,1,1
0.943785340,0,1,1,1
0.943795460,1,1,1,1
0.943796780,0,1,1,1
0.943812000,1,1,1,1
0.943813300,0,1,1,1
0.943823320,1,1,1,1
0.943824660,0,1,1,1
0.943839880,1,1,1,1
0.943841140,0,1,1,1
0.943851160,1,1,1,1
0.943856460,0,1,1,1
0.946750940,1,1,1,1
0.946755500,1,1,0,1
0.952349180,1,1,1,1
0.952351700,0,1,1,1
0.952361820,1,1,1,1
0.952363140,0,1,1,1
0.952378340,1,1,1,1
0.952379640,0,1,1,1
0.952389660,1,1,1,1
0.952391020,0,1,1,1
0.952406220,1,1,1,1
0.952407480,0,1,1,1
0.952417500,1,1,1,1
0.952422820,0,1,1,1
0.955316920,1,1,1,1
0.955321500,1,1,0,1
0.960913680,1,1,1,1
0.960916200,0,1,1,1
0.960926320,1,1,1,1
0.960927640,0,1,1,1
0.960942840,1,1,1,1
0.960944140,0,1,1,1
0.960954160,1,1,1,1
0.960955500,0,1,1,1
0.960972140,1,1,1,1
0.960973420,0,1,1,1
0.960983440,1,1,1,1
0.960991400,0,1,1,1
0.963884180,1,1,1,1
0.963889960,1,1,0,1
0.969483180,1,1,1,1
0.969485680,0,1,1,1
0.969495800,1,1,1,1
0.969497140,0,1,1,1
0.969512340,1,1,1,1
0.969513640,0,1,1,1
0.969523660,1,1,1,1
0.969525000,0,1,1,1
0.969540200,1,1,1,1
0.969541480,0,1,1,1
0.969551500,1,1,1,1
0.969556800,0,1,1,1
0.972451000,1,1,1,1
0.972455580,1,1,0,1
0.978051740,1,1,1,1
0.978054260,0,1,1,1
0.978064380,1,1,1,1
0.978065700,0,1,1,1
0.978080920,1,1,1,1
0.978082220,0,1,1,1
0.978092240,1,1,1,1
0.978093580,0,1,1,1
0.978108780,1,1,1,1
0.978110040,0,1,1,1
0.978120060,1,1,1,1
0.978125380,0,1,1,1
0.981018740,1,1,1,1
0.981024520,1,1,0,1
0.986617200,1,1,1,1
0.986619700,0,1,1,1
0.986629840,1,1,1,1
0.986631160,0,1,1,1
0.986646380,1,1,1,1
0.986647660,0,1,1,1
0.986657700,1,1,1,1
0.986659040,0,1,1,1
0.986674240,1,1,1,1
0.986675520,0,1,1,1
0.986685540,1,1,1,1
0.986690840,0,1,1,1
0.989584100,1,1,1,1
0.989589880,1,1,0,1
0.995189640,1,1,1,1
0.995192160,0,1,1,1
0.995202280,1,1,1,1
0.995203600,0,1,1,1
0.995218800,1,1,1,1
0.995220100,0,1,1,1
0.995230140,1,1,1,1
0.995231480,0,1,1,1
0.995246680,1,1,1,1
0.995247940,0,1,1,1
0.995257980,1,1,1,1
0.995263280,0,1,1,1
0.998155800,1,1,1,1
