Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.274228034,1,0,0,0
0.339684320,1,1,0,0
0.339707500,1,1,0,1
0.340344320,1,1,1,1
0.340346620,0,1,1,1
0.340356140,1,1,1,1
0.340357540,0,1,1,1
0.340371460,1,1,1,1
0.340372760,0,1,1,1
0.340382180,1,1,1,1
0.340383600,0,1,1,1
0.340397520,1,1,1,1
0.340398820,0,1,1,1
0.340408240,1,1,1,1
0.340413980,0,1,1,1
0.343304680,1,1,1,1
0.343310800,1,1,0,1
0.343945840,1,1,1,1
0.343948160,0,1,1,1
0.343957680,1,1,1,1
0.343959080,0,1,1,1
0.343973000,1,1,1,1
0.343974300,0,1,1,1
0.343983720,1,1,1,1
0.343985140,0,1,1,1
0.343999080,1,1,1,1
0.344000360,0,1,1,1
0.344009780,1,1,1,1
0.344015520,0,1,1,1
0.346905580,1,1,1,1
0.346911780,1,1,0,1
0.347545140,1,1,1,1
0.347547440,0,1,1,1
0.347556960,1,1,1,1
0.347558360,0,1,1,1
0.347572280,1,1,1,1
0.347573560,0,1,1,1
0.347582980,1,1,1,1
0.347584400,0,1,1,1
0.347598320,1,1,1,1
0.347599620,0,1,1,1
0.347609020,1,1,1,1
0.347614760,0,1,1,1
0.350503900,1,1,1,1
0.350510100,1,1,0,1
0.351144980,1,1,1,1
0.351147300,0,1,1,1
0.351156800,1,1,1,1
0.351158200,0,1,1,1
0.351172140,1,1,1,1
0.351173420,0,1,1,1
0.351182840,1,1,1,1
0.351184260,0,1,1,1
0.351198180,1,1,1,1
0.351199480,0,1,1,1
0.351208900,1,1,1,1
0.351214620,0,1,1,1
0.354106380,1,1,1,1
0.354114920,1,1,0,1
0.354749740,1,1,1,1
0.354752040,0,1,1,1
0.354761560,1,1,1,1
0.354762960,0,1,1,1
0.354776880,1,1,1,1
0.354778180,0,1,1,1
0.354787600,1,1,1,1
0.354789000,0,1,1,1
0.354802940,1,1,1,1
0.354804220,0,1,1,1
0.354813640,1,1,1,1
0.354819380,0,1,1,1
0.357709360,1,1,1,1
0.357715560,1,1,0,1
0.358348960,1,1,1,1
0.358351280,0,1,1,1
0.358360780,1,1,1,1
0.358362200,0,1,1,1
0.358376120,1,1,1,1
0.358377400,0,1,1,1
0.358386820,1,1,1,1
0.358388240,0,1,1,1
0.358402160,1,1,1,1
0.358403460,0,1,1,1
0.358412880,1,1,1,1
0.358418600,0,1,1,1
0.361308200,1,1,1,1
0.361314320,1,1,0,1
0.361949000,1,1,1,1
0.361951300,0,1,1,1
0.361960820,1,1,1,1
0.361962220,0,1,1,1
0.361976140,1,1,1,1
0.361977440,0,1,1,1
0.361986840,1,1,1,1
0.361988260,0,1,1,1
0.362002180,1,1,1,1
0.362003480,0,1,1,1
0.362012900,1,1,1,1
0.362018620,0,1,1,1
0.364908200,1,1,1,1
0.364914380,1,1,0,1
0.365547860,1,1,1,1
0.365550180,0,1,1,1
0.365559680,1,1,1,1
0.365561080,0,1,1,1
0.365575020,1,1,1,1
0.365576300,0,1,1,1
0.365585720,1,1,1,1
0.365587140,0,1,1,1
0.365601060,1,1,1,1
0.365602360,0,1,1,1
0.365611760,1,1,1,1
0.365617480,0,1,1,1
0.368508820,1,1,1,1
0.368513840,1,1,0,1
0.369151400,1,1,1,1
0.369153720,0,1,1,1
0.369163220,1,1,1,1
0.369164640,0,1,1,1
0.369178560,1,1,1,1
0.369179860,0,1,1,1
0.369189260,1,1,1,1
0.369190680,0,1,1,1
0.369204600,1,1,1,1
0.369205900,0,1,1,1
0.369215320,1,1,1,1
