Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.294521337,1,0,0,0
0.338625160,1,1,0,0
0.338647020,1,1,0,1
0.339377120,1,1,1,1
0.339379620,0,1,1,1
0.339389740,1,1,1,1
0.339391060,0,1,1,1
0.339406280,1,1,1,1
0.339407560,0,1,1,1
0.339417600,1,1,1,1
0.339418940,0,1,1,1
0.339434140,1,1,1,1
0.339435400,0,1,1,1
0.339445420,1,1,1,1
0.339450720,0,1,1,1
0.342344200,1,1,1,1
0.342348780,1,1,0,1
0.343076560,1,1,1,1
0.343079060,0,1,1,1
0.343089180,1,1,1,1
0.343090500,0,1,1,1
0.343105700,1,1,1,1
0.343107000,0,1,1,1
0.343117020,1,1,1,1
0.343118360,0,1,1,1
0.343133560,1,1,1,1
0.343134820,0,1,1,1
0.343144840,1,1,1,1
0.343150160,0,1,1,1
0.346043980,1,1,1,1
0.346048540,1,1,0,1
0.346776460,1,1,1,1
0.346778980,0,1,1,1
0.346789100,1,1,1,1
0.346790420,0,1,1,1
0.346805620,1,1,1,1
0.346806920,0,1,1,1
0.346816940,1,1,1,1
0.346818280,0,1,1,1
0.346833480,1,1,1,1
0.346834740,0,1,1,1
0.346844760,1,1,1,1
0.346850060,0,1,1,1
0.349744140,1,1,1,1
0.349748700,1,1,0,1
0.350475160,1,1,1,1
0.350477680,0,1,1,1
0.350487800,1,1,1,1
0.350489120,0,1,1,1
0.350504320,1,1,1,1
0.350505620,0,1,1,1
0.350515640,1,1,1,1
0.350516980,0,1,1,1
0.350532180,1,1,1,1
0.350533440,0,1,1,1
0.350543480,1,1,1,1
0.350548780,0,1,1,1
0.353441760,1,1,1,1
0.353447520,1,1,0,1
0.354175400,1,1,1,1
0.354177920,0,1,1,1
0.354188040,1,1,1,1
0.354189360,0,1,1,1
0.354204560,1,1,1,1
0.354205860,0,1,1,1
0.354215880,1,1,1,1
0.354217220,0,1,1,1
0.354232420,1,1,1,1
0.354233700,0,1,1,1
0.354243720,1,1,1,1
0.354249020,0,1,1,1
0.357141080,1,1,1,1
0.357146860,1,1,0,1
0.357874800,1,1,1,1
0.357877320,0,1,1,1
0.357887440,1,1,1,1
0.357888760,0,1,1,1
0.357903960,1,1,1,1
0.357905260,0,1,1,1
0.357915300,1,1,1,1
0.357916640,0,1,1,1
0.357931840,1,1,1,1
0.357933100,0,1,1,1
0.357943120,1,1,1,1
0.357948440,0,1,1,1
0.360841260,1,1,1,1
0.360847020,1,1,0,1
0.361573500,1,1,1,1
0.361576020,0,1,1,1
0.361587500,1,1,1,1
0.361588820,0,1,1,1
0.361604020,1,1,1,1
0.361605320,0,1,1,1
0.361615340,1,1,1,1
0.361616680,0,1,1,1
0.361631880,1,1,1,1
0.361633160,0,1,1,1
0.361643180,1,1,1,1
0.361648480,0,1,1,1
0.364540740,1,1,1,1
0.364546500,1,1,0,1
0.365274260,1,1,1,1
0.365276760,0,1,1,1
0.365286880,1,1,1,1
0.365288220,0,1,1,1
0.365303420,1,1,1,1
0.365304720,0,1,1,1
0.365314740,1,1,1,1
0.365316080,0,1,1,1
0.365331280,1,1,1,1
0.365332540,0,1,1,1
0.365342580,1,1,1,1
0.365347880,0,1,1,1
0.368242160,1,1,1,1
0.368246740,1,1,0,1
0.368974720,1,1,1,1
0.368977240,0,1,1,1
0.368987360,1,1,1,1
0.368988680,0,1,1,1
0.369003900,1,1,1,1
0.369005200,0,1,1,1
0.369015220,1,1,1,1
0.369016560,0,1,1,1
0.369031760,1,1,1,1
0.369033040,0,1,1,1
0.369043060,1,1,1,1
0.369048360,0,1,1,1
0.371942680,1,1,1,1
0.371947240,1,1,0,1
0.372675200,1,1,1,1
0.372677700,0,1,1,1
0.372687840,1,1,1,1
0.372689160,0,1,1,1
0.372704360,1,1,1,1
0.372705660,0,1,1,1
0.372715680,1,1,1,1
0.372717040,0,1,1,1
0.372732240,1,1,1,1
0.372733500,0,1,1,1
0.372743540,1,1,1,1
0.372748840,0,1,1,1
0.375643180,1,1,1,1
0.375647740,1,1,0,1
0.376374200,1,1,1,1
0.376376720,0,1,1,1
0.376386840,1,1,1,1
0.376388160,0,1,1,1
0.376403360,1,1,1,1
0.376404660,0,1,1,1
0.376414680,1,1,1,1
0.376416040,0,1,1,1
0.376431240,1,1,1,1
0.376432500,0,1,1,1
0.376442520,1,1,1,1
0.376447820,0,1,1,1
0.379340440,1,1,1,1
0.379348680,1,1,0,1
0.380076840,1,1,1,1
0.380079340,0,1,1,1
0.380089480,1,1,1,1
0.380090800,0,1,1,1
0.380106000,1,1,1,1
0.380107300,0,1,1,1
0.380117340,1,1,1,1
0.380118680,0,1,1,1
0.380133880,1,1,1,1
0.380135140,0,1,1,1
0.380145180,1,1,1,1
0.380150480,0,1,1,1
0.383043440,1,1,1,1
0.383049200,1,1,0,1
0.383777040,1,1,1,1
0.383779540,0,1,1,1
0.383789680,1,1,1,1
0.383791000,0,1,1,1
0.383806200,1,1,1,1
0.383807500,0,1,1,1
0.383817520,1,1,1,1
0.383818860,0,1,1,1
0.383834080,1,1,1,1
0.383835340,0,1,1,1
0.383845360,1,1,1,1
0.383850660,0,1,1,1
0.386743260,1,1,1,1
0.386749040,1,1,0,1
0.387333540,1,1,1,1
0.387336060,0,1,1,1
0.387346180,1,1,1,1
0.387347500,0,1,1,1
0.387362720,1,1,1,1
0.387364000,0,1,1,1
0.387374040,1,1,1,1
0.387375380,0,1,1,1
0.387390580,1,1,1,1
0.387391840,0,1,1,1
0.387401880,1,1,1,1
0.387407180,0,1,1,1
0.388384440,1,1,1,1
0.388389020,1,1,0,1
0.388391720,1,1,0,0
0.388410960,1,0,0,0
0.451760880,1,0,0,0
